| fixture | lane | ok | bytes | sha12 | charCodeAt/length imports | reaches | helpers in wat | demoted |
| NEG | gc-native-strings | y | 22606 | b4df8ee2cf16 | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| NEG | standalone | y | 22770 | a2e4743ee4fa | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| NEG | wasi | y | 22797 | 107f3394fff8 | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| NEG | linear | y | 5626 | b8b135115d3a | - | linear:plan/linear-runtime=1 fromast:planCall/__linear_ir_str_char_code_at=1 | - | - |
| OOB | gc-host | y | 324 | bf9d0060e0b9 | func:wasm:js-string.length#0 func:wasm:js-string.charCodeAt#1 global:string_constants.oob@0 global:string_constants.abc@1 global:string_constants.@2 | fromast:emitStringCharCodeAt/ir-instr=1 resolve:6527/ir-host-guarded=1 emit:adapter/provider=1 | __jsstr_charCodeAt | - |
| OOB | gc-native-strings | y | 22191 | 414ad53b55ba | - | fromast:emitStringCharCodeAt/ir-instr=1 resolve:6527/ir-native-guarded=1 emit:adapter/provider=1 | __str_charCodeAt __str_flatten | - |
| OOB | standalone | y | 22806 | f8648808d5a0 | - | fromast:emitStringCharCodeAt/ir-instr=1 resolve:6527/ir-native-guarded=1 emit:adapter/provider=1 | __str_charCodeAt __str_flatten | - |
| OOB | wasi | y | 22833 | 8d088efc3433 | - | fromast:emitStringCharCodeAt/ir-instr=1 resolve:6527/ir-native-guarded=1 emit:adapter/provider=1 | __str_charCodeAt __str_flatten | - |
| OOB | linear | y | 5659 | 4dfc57f9da66 | - | fromast:emitStringCharCodeAt/ir-instr=1 linear:emit/linear-runtime=1 | - | - |
| OMIT | gc-host | y | 304 | 94943e2f2e66 | func:wasm:js-string.length#0 func:wasm:js-string.charCodeAt#1 global:string_constants.omit@0 global:string_constants.@1 | plan:stringMethodPlan/host=1 fromast:planCall/__jsstr_charCodeAt=1 resolve:6417/host-guarded=1 | __jsstr_charCodeAt | - |
| OMIT | gc-native-strings | y | 22608 | 8d5be65ec9f2 | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| OMIT | standalone | y | 22772 | f1bb8d9dab77 | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| OMIT | wasi | y | 22799 | 763010600fae | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| OMIT | linear | y | 5618 | 008d5a4ae250 | - | linear:plan/linear-runtime=1 fromast:planCall/__linear_ir_str_char_code_at=1 | - | - |
| TPL | gc-host | y | 366 | c98938c569dd | func:wasm:js-string.length#0 func:wasm:js-string.charCodeAt#1 global:string_constants.tpl@0 global:string_constants.@1 global:string_constants.!@2 | plan:stringMethodPlan/host=1 fromast:planCall/__jsstr_charCodeAt=1 resolve:6417/host-guarded=1 | __jsstr_charCodeAt | - |
| TPL | gc-native-strings | y | 22651 | 81c41cbd8d0d | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| TPL | standalone | y | 23432 | 72be3e23af7d | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| TPL | wasi | y | 22842 | 96a420b5341a | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| TPL | linear | N | 0 | e3b0c44298fc | - | linear:plan/linear-runtime=1 fromast:planCall/__linear_ir_str_char_code_at=1 | - | COMPILE-FAIL: Codegen error: Unsupported method call: .charCodeAt() |
| FOROF | gc-host | y | 1574 | fe6aefefc3e2 | func:wasm:js-string.length#0 func:wasm:js-string.charCodeAt#1 global:string_constants.forof@0 global:string_constants.@1 global:string_constants.Cannot convert undefined or null to object@2 | - | - | forof:method-call-unsupported |
| FOROF | gc-native-strings | y | 22849 | 1ca184a4a6af | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
| FOROF | standalone | y | 49299 | e25320b97c23 | - | plan:stringMethodPlan/native=1 fromast:planCall/__str_charCodeAt=1 resolve:6421/native-guarded=1 | __str_charCodeAt __str_flatten | - |
