| fixture | lane | ok | bytes | sha | concat-ish imports | reaches | demoted |
| TPL6 | wasi | y | 22737 | 97b7efd7c97c | - | - [batch-decision:unchanged(none)=1] | - |
| TPL6 | linear | y | 5004 | 59b7cf1aa8dc | - | - | - |
| TPL6 | gc-strict | y | 22095 | 45353bb49365 | - | - [batch-decision:unchanged(none)=1] | - |
| TPLEQ | gc-host | y | 246 | 7e6dac42d3c7 | env.__concat_3#1 | batch-root:many×3(leaves 3)=1; batch-decision:changed(host)=1; concat-many:host×3=1; late-import:__concat_3-new@imp5=1; flush:+1@5(defined 1)=1 | - |
| TPLEQ | gc-native-strings | y | 22747 | 140c5083c9fb | - | flush:+3@0(defined 51)=1 [batch-decision:unchanged(none)=1] | - |
| TPLEQ | standalone | y | 23527 | def291da198e | - | batch-root:many×3(leaves 3)=1; batch-decision:changed(standalone)=1; concat-many:native×3=1; native-batched:3-mint=1 | - |
| TPLEQ | wasi | y | 22938 | 17130c0d764e | - | - [batch-decision:unchanged(none)=1] | - |
| TPLEQ | linear | y | 4976 | 4162ecbe7ed4 | - | - | - |
| TPLEQ | gc-strict | y | 22296 | b6c6595f5863 | - | - [batch-decision:unchanged(none)=1] | - |
| LITRUN | gc-host | y | 229 | 71f6382e0f6c | wasm:js-string.concat#0 | - [batch-decision:unchanged(host)=1] | - |
| LITRUN | gc-native-strings | y | 22463 | 867edc1e47e0 | - | flush:+3@0(defined 51)=1 [batch-decision:unchanged(none)=1] | - |
| LITRUN | standalone | y | 22627 | c5cdc1e16b6e | - | - [batch-decision:unchanged(standalone)=1] | - |
| LITRUN | wasi | y | 22654 | d5f3f37af8ea | - | - [batch-decision:unchanged(none)=1] | - |
| LITRUN | linear | y | 4948 | be7f95167e96 | - | - | - |
| LITRUN | gc-strict | y | 22012 | c0f7127b9e16 | - | - [batch-decision:unchanged(none)=1] | - |
| MULTIUSE | gc-host | y | 172 | 7d0cf5671a7a | wasm:js-string.concat#0 | - [batch-decision:unchanged(host)=1] | - |
| MULTIUSE | gc-native-strings | y | 22436 | 5824fcc88870 | - | flush:+3@0(defined 51)=1 [batch-decision:unchanged(none)=1] | - |
| MULTIUSE | standalone | y | 22600 | 2676ed12b3f7 | - | - [batch-decision:unchanged(standalone)=1] | - |
| MULTIUSE | wasi | y | 22627 | 4ca5e592ab27 | - | - [batch-decision:unchanged(none)=1] | - |
| MULTIUSE | linear | y | 4901 | 715a0aae1f50 | - | - | - |
| MULTIUSE | gc-strict | y | 21985 | aaada3d3a104 | - | - [batch-decision:unchanged(none)=1] | - |
| CATNUM3 | gc-host | y | 199 | a4af808e0009 | env.__concat_3#1 | late-import:__concat_3-new@imp6=1; legacy-batched:3=1; flush:+1@6(defined 1)=1 | cn3:operand-coercion-unsupported |
| CATNUM3 | gc-native-strings | y | 39600 | a8b9836607dd | - | flush:+3@0(defined 63)=1 | cn3:operand-coercion-unsupported |
| CATNUM3 | standalone | y | 40461 | 544be0440bb0 | - | native-batched:3-mint=1; legacy-native-batched:3=1 | cn3:operand-coercion-unsupported |
| CATNUM3 | wasi | y | 40488 | a3b6bfe8908a | - | native-batched:3-mint=1; legacy-native-batched:3=1 | cn3:operand-coercion-unsupported |
| CATNUM3 | linear | y | 4886 | d1d18d4369e9 | - | - | - |
| CATNUM3 | gc-strict | y | 39149 | 951766587c70 | - | - | cn3:operand-coercion-unsupported |
| ASYNC | gc-host | y | 10021 | 3c072b5822b4 | env.__concat_5#21 | flush:+2@71(defined 6)=1; flush:+6@74(defined 6)=1; concat-async5:host×5=1; late-import:__concat_5-new@imp97-batchOpen=1; flush:+2@96(defined 8)=1; flush:+1@98(defined 39)=1; flush:+1@99(defined 40)=1; flush:+1@100(defined 41)=1; flush:+1@101(defined 42)=1; flush:+1@102(defined 43)=1 [batch-decision:unchanged(host)=19] | - |
| ASYNC | gc-native-strings | y | 53921 | 73a1355f04fb | - | flush:+3@83(defined 68)=1; flush:+1@86(defined 68)=1; flush:+2@87(defined 73)=1; flush:+1@89(defined 73)=1; flush:+5@90(defined 73)=1; flush:+3@95(defined 76)=1; flush:+1@98(defined 78)=1; flush:+1@99(defined 112)=1; flush:+1@100(defined 113)=1; flush:+1@101(defined 114)=1; flush:+1@102(defined 115)=1; flush:+1@103(defined 116)=1 [batch-decision:unchanged(none)=1] | delay:body-shape-rejected fetchUser:call-graph-closure fetchAllSequential:call-graph-closure fetchAllParallel:call-graph-closure main:call-graph-closure |
