| fixture | lane | ok | bytes | sha | concat imports | resolve arm | emitStringConcat | many-arity | batched | linear | demoted |
| CATNUM | gc-native-strings | y | 39593 | 8019ba05bcea | - | - | - | - | 0 | - | cn:operand-coercion-unsupported |
| CATNUM | standalone | y | 40111 | 1b9f8c2f1a46 | - | - | - | - | 0 | - | cn:operand-coercion-unsupported |
| CATNUM | wasi | y | 40138 | 44d8e6c1fc11 | - | - | - | - | 0 | - | cn:operand-coercion-unsupported |
| CATNUM | linear | y | 4879 | 174ffd40c487 | - | - | - | - | 0 | - | - |
| EQ | gc-host | y | 148 | 017838d4fba4 | - | - | - | - | 0 | - | - |
| EQ | gc-native-strings | y | 22424 | dc3298e5dec9 | - | - | - | - | 0 | - | - |
| EQ | standalone | y | 22588 | 3e619655380b | - | - | - | - | 0 | - | - |
| EQ | wasi | y | 22615 | 3836ffaa923d | - | - | - | - | 0 | - | - |
| EQ | linear | y | 4873 | 6738e2e7cf86 | - | - | - | - | 0 | - | - |
| CLEAN | gc-host | y | 119 | a734964356e5 | - | - | - | - | 0 | - | - |
| CLEAN | gc-native-strings | y | 21977 | 07067e4c76dc | - | - | - | - | 0 | - | - |
| CLEAN | standalone | y | 22592 | 23cc3ba48737 | - | - | - | - | 0 | - | - |
| CLEAN | wasi | y | 22619 | c05c31ff8cfc | - | - | - | - | 0 | - | - |
| CLEAN | linear | y | 4878 | eab66857b0be | - | - | - | - | 0 | - | - |
